CustomerID,CustomerName,City,Email
C001,Customer 1,Mumbai,customer1@mail.com
C002,Customer 2,Jaipur,customer2@mail.com
C003,Customer 3,Mumbai,customer3@mail.com
C004,Customer 4,Mumbai,customer4@mail.com
C005,Customer 5,Delhi,customer5@mail.com
C006,Customer 6,Mumbai,customer6@mail.com
C007,Customer 7,Jaipur,customer7@mail.com
C008,Customer 8,Delhi,customer8@mail.com
C009,Customer 9,Jaipur,customer9@mail.com
C010,Customer 10,Delhi,customer10@mail.com
C011,Customer 11,Mumbai,customer11@mail.com
C012,Customer 12,Delhi,customer12@mail.com
C013,Customer 13,Mumbai,customer13@mail.com
C014,Customer 14,Jaipur,customer14@mail.com
C015,Customer 15,Delhi,customer15@mail.com
C016,Customer 16,Delhi,customer16@mail.com
C017,Customer 17,Jaipur,customer17@mail.com
C018,Customer 18,Delhi,customer18@mail.com
C019,Customer 19,Mumbai,customer19@mail.com
C020,Customer 20,Delhi,customer20@mail.com
C021,Customer 21,Mumbai,customer21@mail.com
C022,Customer 22,Mumbai,customer22@mail.com
C023,Customer 23,Delhi,customer23@mail.com
C024,Customer 24,Mumbai,customer24@mail.com
C025,Customer 25,Jaipur,customer25@mail.com
C026,Customer 26,Mumbai,customer26@mail.com
C027,Customer 27,Delhi,customer27@mail.com
C028,Customer 28,Delhi,customer28@mail.com
C029,Customer 29,Mumbai,customer29@mail.com
C030,Customer 30,Delhi,customer30@mail.com
C031,Customer 31,Mumbai,customer31@mail.com
C032,Customer 32,Mumbai,customer32@mail.com
C033,Customer 33,Jaipur,customer33@mail.com
C034,Customer 34,Jaipur,customer34@mail.com
C035,Customer 35,Delhi,customer35@mail.com
C036,Customer 36,Delhi,customer36@mail.com
C037,Customer 37,Jaipur,customer37@mail.com
C038,Customer 38,Mumbai,customer38@mail.com
C039,Customer 39,Mumbai,customer39@mail.com
C040,Customer 40,Delhi,customer40@mail.com
C041,Customer 41,Mumbai,customer41@mail.com
C042,Customer 42,Jaipur,customer42@mail.com
C043,Customer 43,Mumbai,customer43@mail.com
C044,Customer 44,Delhi,customer44@mail.com
C045,Customer 45,Jaipur,customer45@mail.com
C046,Customer 46,Delhi,customer46@mail.com
C047,Customer 47,Mumbai,customer47@mail.com
C048,Customer 48,Jaipur,customer48@mail.com
C049,Customer 49,Jaipur,customer49@mail.com
C050,Customer 50,Mumbai,customer50@mail.com
C051,Customer 51,Jaipur,customer51@mail.com
C052,Customer 52,Mumbai,customer52@mail.com
C053,Customer 53,Jaipur,customer53@mail.com
C054,Customer 54,Jaipur,customer54@mail.com
C055,Customer 55,Jaipur,customer55@mail.com
C056,Customer 56,Delhi,customer56@mail.com
C057,Customer 57,Jaipur,customer57@mail.com
C058,Customer 58,Mumbai,customer58@mail.com
C059,Customer 59,Jaipur,customer59@mail.com
C060,Customer 60,Mumbai,customer60@mail.com
C061,Customer 61,Jaipur,customer61@mail.com
C062,Customer 62,Jaipur,customer62@mail.com
C063,Customer 63,Jaipur,customer63@mail.com
C064,Customer 64,Mumbai,customer64@mail.com
C065,Customer 65,Mumbai,customer65@mail.com
C066,Customer 66,Delhi,customer66@mail.com
C067,Customer 67,Delhi,customer67@mail.com
C068,Customer 68,Mumbai,customer68@mail.com
C069,Customer 69,Delhi,customer69@mail.com
C070,Customer 70,Delhi,customer70@mail.com
C071,Customer 71,Mumbai,customer71@mail.com
C072,Customer 72,Jaipur,customer72@mail.com
C073,Customer 73,Mumbai,customer73@mail.com
C074,Customer 74,Mumbai,customer74@mail.com
C075,Customer 75,Mumbai,customer75@mail.com
C076,Customer 76,Mumbai,customer76@mail.com
C077,Customer 77,Jaipur,customer77@mail.com
C078,Customer 78,Mumbai,customer78@mail.com
C079,Customer 79,Mumbai,customer79@mail.com
C080,Customer 80,Delhi,customer80@mail.com
C081,Customer 81,Delhi,customer81@mail.com
C082,Customer 82,Delhi,customer82@mail.com
C083,Customer 83,Delhi,customer83@mail.com
C084,Customer 84,Delhi,customer84@mail.com
C085,Customer 85,Delhi,customer85@mail.com
C086,Customer 86,Mumbai,customer86@mail.com
C087,Customer 87,Jaipur,customer87@mail.com
C088,Customer 88,Delhi,customer88@mail.com
C089,Customer 89,Jaipur,customer89@mail.com
C090,Customer 90,Delhi,customer90@mail.com
C091,Customer 91,Jaipur,customer91@mail.com
C092,Customer 92,Delhi,customer92@mail.com
C093,Customer 93,Mumbai,customer93@mail.com
C094,Customer 94,Mumbai,customer94@mail.com
C095,Customer 95,Delhi,customer95@mail.com
C096,Customer 96,Delhi,customer96@mail.com
C097,Customer 97,Delhi,customer97@mail.com
C098,Customer 98,Mumbai,customer98@mail.com
C099,Customer 99,Mumbai,customer99@mail.com
C100,Customer 100,Jaipur,customer100@mail.com
