CustomerID,FirstName,LastName,Email,Phone,City,State,Country,ZipCode,JoinDate,TotalOrders,TotalSpent,Status
CUST0001,Linda,Johnson,lindajohnson32@outlook.com,+1-428-242-2679,Hyderabad,TS,USA,98696,2023-06-28,38,6386.64,Active
CUST0002,Jennifer,Wilson,jenniferwilson78@corp.net,+1-227-674-4257,San Diego,CA,USA,95181,2025-05-09,15,6793.21,Active
CUST0003,James,Hernandez,jameshernandez44@business.com,+1-484-259-4527,Bangalore,KA,USA,54118,2023-07-29,6,5760.92,Active
CUST0004,Daniel,Hill,danielhill94@gmail.com,+1-670-649-3045,Dallas,TX,USA,59615,2023-06-11,36,4468.36,Suspended
CUST0005,Nancy,Torres,nancytorres6@gmail.com,+1-877-333-5741,San Antonio,TX,USA,20458,2024-04-21,7,5763.88,Inactive
CUST0006,Nancy,Hernandez,nancyhernandez27@outlook.com,+1-886-373-2169,Jacksonville,FL,USA,89840,2023-12-17,35,10963.99,Active
CUST0007,Sandra,Harris,sandraharris29@corp.net,+1-901-432-1916,Dallas,TX,USA,40021,2023-03-07,21,6077.36,Active
CUST0008,Susan,Torres,susantorres28@outlook.com,+1-871-611-7482,Bangalore,KA,USA,94259,2025-07-28,10,4046.71,Active
CUST0009,Kimberly,Wright,kimberlywright55@corp.net,+1-797-508-6930,Dallas,TX,USA,38746,2023-10-11,33,7453.39,Active
CUST0010,Linda,Martinez,lindamartinez88@yahoo.com,+1-632-710-2040,Mumbai,MH,USA,60432,2025-02-20,39,14942.21,Suspended
CUST0011,Thomas,Scott,thomasscott88@gmail.com,+1-749-868-5371,New York,NY,USA,94012,2024-11-27,8,4473.15,Active
CUST0012,Sandra,Smith,sandrasmith65@outlook.com,+1-980-282-9317,Hyderabad,TS,USA,23947,2024-09-03,41,7664.18,Active
CUST0013,Barbara,White,barbarawhite70@yahoo.com,+1-997-643-1009,Chennai,TN,USA,88504,2024-10-25,32,390.2,Active
CUST0014,Karen,Thomas,karenthomas73@yahoo.com,+1-280-187-8962,Los Angeles,CA,USA,19071,2025-12-26,50,1973.83,Inactive
CUST0015,Kimberly,Hernandez,kimberlyhernandez78@corp.net,+1-633-316-9835,Dallas,TX,USA,36365,2024-09-30,26,14927.73,Active
CUST0016,Mark,King,markking32@gmail.com,+1-430-165-6539,Charlotte,NC,USA,12757,2024-04-16,38,3381.24,Active
CUST0017,Patricia,Anderson,patriciaanderson43@gmail.com,+1-272-626-4899,Chicago,IL,USA,46500,2025-09-21,14,8134.59,Suspended
CUST0018,Andrew,Walker,andrewwalker53@business.com,+1-394-196-2588,San Diego,CA,USA,96374,2025-06-01,23,6411.32,Inactive
CUST0019,Patricia,Miller,patriciamiller94@business.com,+1-547-919-2790,Los Angeles,CA,USA,42591,2024-01-28,13,8090.66,Active
CUST0020,Margaret,Lopez,margaretlopez32@business.com,+1-277-553-2604,Dallas,TX,USA,16630,2023-01-31,6,13902.87,Active
CUST0021,David,Clark,davidclark28@business.com,+1-610-160-3697,Indianapolis,IN,USA,59672,2023-01-05,25,4051.53,Inactive
CUST0022,Charles,Ramirez,charlesramirez85@corp.net,+1-935-598-3536,Bangalore,KA,USA,34890,2024-08-30,14,14533.77,Suspended
CUST0023,Paul,Brown,paulbrown8@outlook.com,+1-251-698-8811,Hyderabad,TS,USA,75909,2025-12-23,11,947.51,Suspended
CUST0024,Jennifer,Lopez,jenniferlopez9@corp.net,+1-891-982-4853,Chicago,IL,USA,62923,2023-09-03,37,3768.61,Suspended
CUST0025,John,Flores,johnflores85@business.com,+1-797-678-9565,Chicago,IL,USA,51467,2024-06-18,14,10078.92,Active
CUST0026,Jessica,Taylor,jessicataylor86@yahoo.com,+1-860-407-8491,Fort Worth,TX,USA,51441,2023-05-29,1,6928.45,Suspended
CUST0027,Michael,Jones,michaeljones65@yahoo.com,+1-471-235-6718,Seattle,WA,USA,19016,2024-05-15,24,4346.31,Inactive
CUST0028,Paul,Martin,paulmartin2@corp.net,+1-883-936-5905,Nashville,TN,USA,96951,2023-08-01,9,4040.54,Active
