VendorID,CompanyName,ContactName,Email,Phone,City,State,Country,Category,ContractStart,ContractEnd,PaymentTerms,Rating,Status
VEND0001,Orbit Operations Corp,John White,johnwhite88@gmail.com,+1-576-657-6876,San Antonio,TX,USA,Electronics,2021-04-28,2023-05-04,COD,3.2,Active
VEND0002,Global Goods Co,Sandra Garcia,sandragarcia32@outlook.com,+1-328-905-4362,Delhi,DL,USA,Electronics,2020-02-13,2021-04-04,Prepaid,3.0,Active
VEND0003,Eagle Traders Co,Joseph Perez,josephperez17@yahoo.com,+1-753-356-3858,Chennai,TN,USA,Electronics,2020-01-06,2021-10-15,Net 30,2.8,Active
VEND0004,Apex Solutions Inc,Jessica Nguyen,jessicanguyen95@yahoo.com,+1-631-638-2862,Austin,TX,USA,Storage,2021-06-27,2022-08-19,Net 30,3.7,Active
VEND0005,Orbit Operations Co,Steven Nguyen,stevennguyen94@gmail.com,+1-874-633-5941,Houston,TX,USA,Furniture,2021-03-29,2023-12-18,Net 30,2.7,Inactive
VEND0006,Delta Supplies Corp,Betty Ramirez,bettyramirez42@gmail.com,+1-822-251-2076,Delhi,DL,USA,Peripherals,2022-06-27,2023-09-10,Net 60,4.1,Active
VEND0007,Jade Partners Corp,Matthew Hill,matthewhill13@business.com,+1-918-217-4522,San Francisco,CA,USA,Furniture,2022-11-01,2025-07-12,COD,4.7,Inactive
VEND0008,Nova Networks Ltd,Lisa Robinson,lisarobinson86@outlook.com,+1-461-483-3500,Fort Worth,TX,USA,Storage,2021-10-02,2023-12-13,COD,2.7,Active
VEND0009,Xenon Exports LLC,Jennifer Ramirez,jenniferramirez76@gmail.com,+1-775-675-6400,Houston,TX,USA,Storage,2020-09-23,2023-04-15,Net 30,3.5,Inactive
VEND0010,Jade Partners LLC,Patricia Jackson,patriciajackson28@corp.net,+1-358-772-8900,Nashville,TN,USA,Peripherals,2020-07-31,2023-03-14,Net 30,3.4,Active
